,연,월,일,기온
0,2006,1,1,3.6
1,2006,1,2,4.0
2,2006,1,3,3.7
3,2006,1,4,4.0
4,2006,1,5,3.6
5,2006,1,6,2.1
6,2006,1,7,2.8
7,2006,1,8,4.2
8,2006,1,9,3.7
9,2006,1,10,4.3
10,2006,1,11,6.1
11,2006,1,12,6.1
12,2006,1,13,4.0
13,2006,1,14,6.6
14,2006,1,15,10.7
15,2006,1,16,9.0
16,2006,1,17,8.0
17,2006,1,18,5.6
18,2006,1,19,4.2
19,2006,1,20,4.0
20,2006,1,21,1.3
21,2006,1,22,3.1
22,2006,1,23,2.5
23,2006,1,24,4.4
24,2006,1,25,5.5
25,2006,1,26,6.0
26,2006,1,27,6.8
27,2006,1,28,5.5
28,2006,1,29,6.0
29,2006,1,30,8.4
30,2006,1,31,7.1
31,2006,2,1,5.7
32,2006,2,2,7.8
33,2006,2,3,6.0
34,2006,2,4,1.6
35,2006,2,5,1.9
36,2006,2,6,2.0
37,2006,2,7,3.6
38,2006,2,8,7.9
39,2006,2,9,4.6
40,2006,2,10,5.6
41,2006,2,11,7.5
42,2006,2,12,4.6
43,2006,2,13,5.7
44,2006,2,14,10.5
45,2006,2,15,14.1
46,2006,2,16,7.5
47,2006,2,17,7.0
48,2006,2,18,4.4
49,2006,2,19,7.0
50,2006,2,20,6.4
51,2006,2,21,8.0
52,2006,2,22,10.8
53,2006,2,23,11.2
54,2006,2,24,6.5
55,2006,2,25,7.8
56,2006,2,26,7.5
57,2006,2,27,8.6
58,2006,2,28,4.6
59,2006,3,1,5.7
60,2006,3,2,8.2
61,2006,3,3,6.4
62,2006,3,4,6.7
63,2006,3,5,8.3
64,2006,3,6,11.8
65,2006,3,7,9.9
66,2006,3,8,12.3
67,2006,3,9,8.9
68,2006,3,10,8.0
69,2006,3,11,11.6
70,2006,3,12,13.8
71,2006,3,13,5.5
72,2006,3,14,5.3
73,2006,3,15,8.4
74,2006,3,16,11.7
75,2006,3,17,13.2
76,2006,3,18,12.3
77,2006,3,19,9.7
78,2006,3,20,8.5
79,2006,3,21,11.7
80,2006,3,22,10.3
81,2006,3,23,10.4
82,2006,3,24,11.2
83,2006,3,25,10.7
84,2006,3,26,13.6
85,2006,3,27,12.3
86,2006,3,28,13.0
87,2006,3,29,9.8
88,2006,3,30,8.0
89,2006,3,31,8.0
90,2006,4,1,10.7
91,2006,4,2,13.3
92,2006,4,3,13.8
93,2006,4,4,15.2
94,2006,4,5,11.6
95,2006,4,6,11.6
96,2006,4,7,9.8
97,2006,4,8,12.5
98,2006,4,9,12.9
99,2006,4,10,10.4
100,2006,4,11,11.6
101,2006,4,12,15.1
102,2006,4,13,17.4
103,2006,4,14,13.0
104,2006,4,15,10.1
105,2006,4,16,9.6
106,2006,4,17,13.7
107,2006,4,18,16.4
108,2006,4,19,17.8
109,2006,4,20,16.3
110,2006,4,21,12.9
111,2006,4,22,13.7
112,2006,4,23,14.4
113,2006,4,24,16.4
114,2006,4,25,12.1
115,2006,4,26,14.0
116,2006,4,27,13.0
117,2006,4,28,15.9
118,2006,4,29,15.8
119,2006,4,30,18.3
120,2006,5,1,23.1
121,2006,5,2,15.5
122,2006,5,3,13.5
123,2006,5,4,16.7
124,2006,5,5,20.0
125,2006,5,6,20.4
126,2006,5,7,18.8
127,2006,5,8,16.1
128,2006,5,9,15.0
129,2006,5,10,18.8
130,2006,5,11,21.2
131,2006,5,12,17.2
132,2006,5,13,12.9
133,2006,5,14,15.7
134,2006,5,15,19.1
135,2006,5,16,18.7
136,2006,5,17,18.5
137,2006,5,18,17.3
138,2006,5,19,19.0
139,2006,5,20,23.7
140,2006,5,21,21.7
141,2006,5,22,20.4
142,2006,5,23,20.9
143,2006,5,24,20.2
144,2006,5,25,18.5
145,2006,5,26,19.4
146,2006,5,27,17.8
147,2006,5,28,20.4
148,2006,5,29,22.7
149,2006,5,30,21.9
150,2006,5,31,22.7
151,2006,6,1,23.1
152,2006,6,2,22.2
153,2006,6,3,19.2
154,2006,6,4,18.3
155,2006,6,5,19.0
156,2006,6,6,20.4
157,2006,6,7,20.2
158,2006,6,8,20.1
159,2006,6,9,19.3
160,2006,6,10,23.2
161,2006,6,11,19.4
162,2006,6,12,20.5
163,2006,6,13,21.5
164,2006,6,14,22.6
165,2006,6,15,22.2
166,2006,6,16,22.4
167,2006,6,17,24.5
168,2006,6,18,21.3
169,2006,6,19,23.7
170,2006,6,20,24.9
171,2006,6,21,23.3
172,2006,6,22,23.6
173,2006,6,23,23.4
